packet_no,source_ip,destination_ip,protocol,payload
295,13:46:13,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
296,13:46:13,148.113.8.206,192.168.31.131,TCP,No payload
297,13:46:16,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
298,13:46:16,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
299,13:46:17,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
300,13:46:17,192.168.31.1,224.0.0.251,UDP,No payload
301,13:46:22,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
302,13:46:22,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
303,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
304,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
305,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
306,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
307,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
308,13:46:23,192.168.31.131,192.168.31.1,UDP,No payload
309,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
310,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
311,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
312,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
313,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
314,13:46:23,192.168.31.1,192.168.31.131,UDP,No payload
315,13:46:23,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
316,13:46:23,148.113.8.206,192.168.31.131,TCP,No payload
317,13:46:23,192.168.31.131,148.113.8.206,TCP,No payload
318,13:46:23,148.113.8.206,192.168.31.131,TCP,No payload
319,13:46:23,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
320,13:46:25,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
321,13:46:25,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
322,13:46:25,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
323,13:46:25,20.189.173.16,192.168.31.131,TCP,No payload
324,13:46:25,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
325,13:46:25,192.168.31.131,20.189.173.16,TCP,No payload
326,13:46:25,192.168.31.131,192.168.31.1,UDP,No payload
327,13:46:25,192.168.31.131,192.168.31.1,UDP,No payload
328,13:46:25,192.168.31.131,192.168.31.1,UDP,No payload
329,13:46:25,192.168.31.1,192.168.31.131,UDP,No payload
330,13:46:25,192.168.31.1,192.168.31.131,UDP,No payload
331,13:46:25,192.168.31.1,192.168.31.131,UDP,No payload
332,13:46:25,192.168.31.131,192.168.31.1,UDP,No payload
333,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
334,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
335,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
336,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
337,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
338,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
339,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
340,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
341,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
342,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
343,13:46:26,192.168.31.131,192.168.31.1,UDP,No payload
344,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
345,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
346,13:46:26,192.168.31.1,192.168.31.131,UDP,No payload
347,13:46:27,192.168.31.1,192.168.31.131,UDP,No payload
348,13:46:27,192.168.31.1,192.168.31.131,UDP,No payload
349,13:46:27,192.168.31.1,192.168.31.131,UDP,No payload
350,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
351,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
352,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
353,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
354,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
355,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
356,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
357,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
358,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
359,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
360,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
361,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
362,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
363,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
364,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
365,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
366,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
367,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
368,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
369,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
370,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
371,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
372,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
373,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
374,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
375,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
376,13:46:27,192.168.31.131,13.107.4.254,TCP,Binary/Encrypted Data
377,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
378,13:46:27,13.107.4.254,192.168.31.131,TCP,No payload
379,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
380,13:46:27,13.107.4.254,192.168.31.131,TCP,Binary/Encrypted Data
381,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
382,13:46:27,192.168.31.131,13.107.4.254,TCP,No payload
383,13:46:27,192.168.31.131,192.168.31.1,UDP,No payload
384,13:46:27,192.168.31.131,192.168.31.1,UDP,No payload
